rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
28,D5,NH4+,lepidocrocite,6,-1.5607027974289736,25.112900000000003,24.12741802738996,NaN
28,D6,NH4+,lepidocrocite,6,-1.0458332389046063,54.2882,50.05200689369293,NaN
29,D1,acetate,hematite,8,86.05395781336097,71.9801,-9.54780612033797,-4.195796408446417
29,D2,acetate,hematite,8,85.22337252728863,71.8278,-9.08765251557805,-4.276948287426647
29,D3,acetate,hematite,8,83.74874119777803,69.15690000000001,-9.899209764850806,-4.504899472923928
29,D4,acetate,hematite,8,81.3824123652071,44.430500000000016,-25.06844247806581,-4.056572648259349
29,D5,acetate,hematite,8,78.09483400118518,51.62850000000001,-17.954950882019645,-4.077915778602347
29,D6,acetate,hematite,8,81.75161674754992,86.651,3.3237767514757275,NaN
30,D1,CH4,hematite,8,83.45713419165048,78.6639,-3.2517644670110974,-8.796380918914954
30,D2,CH4,hematite,8,82.63612368029766,78.5118,-2.7979707766847874,-8.993156825795161
30,D3,CH4,hematite,8,81.17757632306757,74.2449,-4.703177359434997,-7.695908643458563
30,D4,CH4,hematite,8,78.8347366313127,48.36030000000002,-20.67407646438442,-6.036673881793798
30,D5,CH4,hematite,8,75.57533349675714,56.01520000000001,-13.269734907913374,-6.544937753034613
30,D6,CH4,hematite,8,79.20045800424236,90.6141,7.743096622660624,NaN
31,D1,CH4,hematite,6,56.42036696551776,59.01069571100888,2.343063475356728,NaN
31,D2,CH4,hematite,6,55.87985671318114,59.12452912566344,2.9349453934826597,NaN
31,D3,CH4,hematite,6,54.92198187964169,55.23202587041819,0.2804480905393805,NaN
31,D4,CH4,hematite,6,53.38957206065351,35.95992211509588,-15.765866107449044,-6.154382166029063
31,D5,CH4,hematite,6,51.270214741676114,42.25120913152776,-8.158077489569546,-6.756212173849442
31,D6,CH4,hematite,6,53.628284332214264,68.17864250943931,13.161423181423356,NaN
32,D1,CO,hematite,2,27.036767226132817,19.653204288991112,-20.036248294114845,-8.400787884056296
32,D2,CO,hematite,2,26.756266967116495,19.387270874336565,-19.99671928718703,-8.452912124289721
32,D3,CO,hematite,2,26.25559444342599,19.012874129581796,-19.65405370935848,-8.240421991051603
32,D4,CO,hematite,2,25.445164570659138,12.400377884904133,-35.39870753519042,-8.349390479391955
32,D5,CO,hematite,2,24.305118755080997,13.76399086847224,-28.604707162944813,-8.373953362382373
32,D6,CO,hematite,2,25.572173672028036,22.435457490560673,-8.51188305362741,-9.115731842422813
33,D1,H2,hematite,2,31.458312272164505,29.7299,-4.69026914709139,-9.257102234951706
33,D2,H2,hematite,2,31.1729279107214,29.6748,-4.065362894729715,-9.252900681030752
33,D3,H2,hematite,2,30.665892163000365,28.3686,-6.233997945688001,-8.774633345173795
33,D4,H2,hematite,2,29.851258879613198,22.516700000000004,-19.90326947719148,-8.38237557689316
33,D5,H2,hematite,2,28.717358755934825,24.504800000000003,-11.4313203403304,-8.642103604827547
33,D6,H2,hematite,2,29.978443917533397,33.4246,9.351588049888628,NaN
34,D1,HS-,hematite,2,30.35991755895236,34.198499999999996,10.416487479150991,NaN
34,D2,HS-,hematite,2,30.085282966652883,36.6153,17.720041632853086,NaN
34,D3,HS-,hematite,2,29.59962164925595,33.127700000000004,9.573894668251326,NaN
34,D4,HS-,hematite,2,28.825218766590282,25.9815,-7.716796859605804,-3.958662932160756
34,D5,HS-,hematite,2,27.758967060857373,28.806800000000003,2.8434295364104023,NaN
34,D6,HS-,hematite,2,28.945654690899914,39.0532,27.428125036818976,NaN
35,D1,NH4+,hematite,6,-11.65199816179188,43.2316,49.64456904278717,NaN
35,D2,NH4+,hematite,6,-11.714663473724158,42.6381,49.164406294630645,NaN
35,D3,NH4+,hematite,6,-11.827692723737755,40.0946,46.965941234113274,NaN
35,D4,NH4+,hematite,6,-12.012954358775403,19.0063,28.058246293007354,NaN
35,D5,NH4+,hematite,6,-12.2762369593612,25.112900000000003,33.82007837309461,NaN
35,D6,NH4+,hematite,6,-11.983778490067891,54.2882,59.9458476110391,NaN
36,D1,acetate,magnetite,8,129.92569786448786,111.58330000000001,-12.443614317743956,-4.080753458048011
36,D2,acetate,magnetite,8,128.62808441082473,111.4534,-11.651429132449458,-4.169020801996704
36,D3,acetate,magnetite,8,126.32496221827603,106.75529999999999,-13.276199260960258,-4.377426237938179
36,D4,acetate,magnetite,8,122.6308570386874,70.10130000000001,-35.63642839396066,-3.903805828948338
36,D5,acetate,magnetite,8,117.5018087680163,81.2377,-24.601831582749366,-3.9411325588856303
36,D6,acetate,magnetite,8,123.20709448370434,134.47099999999998,7.64151432063624,NaN
37,D1,CH4,magnetite,8,127.32887424277749,118.2671,-6.147572664417167,-8.519796329190482
37,D2,CH4,magnetite,8,126.04083556383375,118.1374,-5.361747393556196,-8.710693650660648
37,D3,CH4,magnetite,8,123.75379734356557,111.84329999999999,-8.080166855544448,-7.46087967094645
37,D4,CH4,magnetite,8,120.08318130479302,74.03110000000001,-31.242062380279283,-5.857360304794386
37,D5,CH4,magnetite,8,114.98230826358832,85.62440000000001,-19.91661560864313,-6.368584458450766
37,D6,CH4,magnetite,8,120.65593574039667,138.43409999999997,12.060834191821213,NaN
38,D1,CH4,magnetite,6,89.32417200386288,88.71309571100889,-0.5527447220492164,-9.565975395643585
38,D2,CH4,magnetite,6,88.43339062583328,88.84372912566343,0.37116877661117115,NaN
38,D3,CH4,magnetite,6,86.85414764501519,83.4308258704182,-3.0965414055700475,-7.877423108423547
38,D4,CH4,magnetite,6,84.32590556576383,55.21302211509588,-26.333852023343976,-5.9315856091764
38,D5,CH4,magnetite,6,80.82544581679963,64.45810913152775,-14.804958190299423,-6.4973928147351945
38,D6,CH4,magnetite,6,84.71989263433005,104.04364250943931,17.4791607505839,NaN
39,D1,CO,magnetite,2,38.00470223891453,29.554004288991113,-22.932056491520818,-8.34216128603301
39,D2,CO,magnetite,2,37.607444938000526,29.293670874336563,-22.56049590405847,-8.40052223265872
39,D3,CO,magnetite,2,36.89964969855049,28.412474129581803,-23.0310432054679,-8.171560519532582
39,D4,CO,magnetite,2,35.75727573902921,18.81807788490413,-45.96669345108526,-8.235934620388004
39,D5,CO,magnetite,2,34.15686244678881,21.166290868472238,-35.25158786367461,-8.283212184452607
39,D6,CO,magnetite,2,35.936043106066634,34.39045749056068,-4.194145484466849,-9.423113999575529
40,D1,H2,magnetite,2,42.42624728494624,39.6307,-7.586077344497431,-9.04828273372429
40,D2,H2,magnetite,2,42.024105881605436,39.5812,-6.629139511601161,-9.040542841069815
40,D3,H2,magnetite,2,41.309947418124864,37.76819999999999,-9.61098744179746,-8.586631990219765
40,D4,H2,magnetite,2,40.16337004798329,28.934400000000004,-30.47125539308638,-8.1974096527987
40,D5,H2,magnetite,2,38.56910244764261,31.9071,-18.078201041060126,-8.443044788286093
40,D6,H2,magnetite,2,40.34231335157199,45.379599999999996,13.669325619049186,NaN
41,D1,HS-,magnetite,2,41.3278525717341,44.0993,7.520679281744968,NaN
41,D2,HS-,magnetite,2,40.936460937536935,46.521699999999996,15.156265015981589,NaN
41,D3,HS-,magnetite,2,40.243676904380436,42.5273,6.196905172141903,NaN
41,D4,HS-,magnetite,2,39.137329934960405,32.39920000000001,-18.28478277550076,-3.584010194744134
41,D5,HS-,magnetite,2,37.610710752565154,36.2091,-3.8034511643193225,-4.602022155642115
41,D6,HS-,magnetite,2,39.30952412493852,51.008199999999995,31.7458626059795,NaN
42,D1,NH4+,magnetite,6,21.25180687655336,72.934,46.748760845381106,NaN
42,D2,NH4+,magnetite,6,20.838870438927984,72.35730000000001,46.60062967775917,NaN
42,D3,NH4+,magnetite,6,20.1044730416358,68.2934,43.588951738003786,NaN
42,D4,NH4+,magnetite,6,18.923379146335037,38.259400000000014,17.490260377112325,NaN
42,D5,NH4+,magnetite,6,17.278994115762316,47.3198,27.17319767236474,NaN
42,D6,NH4+,magnetite,6,19.10782981204784,90.1532,64.2635851801997,NaN
43,D1,pyrite,CO,48,-36.78915284898681,-27.2683656880711,1.0764950535823476,NA
43,D2,pyrite,CO,48,-37.06839961137252,-33.77283300530749,0.3726226718672867,NA
43,D3,pyrite,CO,48,-37.590884207662675,-18.687606963345594,2.1373531522204408,NA
43,D4,pyrite,CO,48,-38.498182485714075,-26.767276920766957,1.3263884173934861,NA
43,D5,pyrite,CO,48,-39.89435278700879,-31.258173052222084,0.9764743827601579,NA
43,D6,pyrite,CO,48,-38.35115678132882,0.9680599244854005,4.445739788018789,NA
44,D1,pyrite,HCO3-,16,-28.723007424916048,-9.055400000000002,6.671322995950237,NA
44,D2,pyrite,HCO3-,16,-28.61542932923642,-10.615799999999998,6.105538842034714,NA
44,D3,pyrite,HCO3-,16,-28.42682903631176,-7.433599999999999,7.120978602194908,NA
44,D4,pyrite,HCO3-,16,-28.130008596120625,-9.749899999999998,6.23459877432883,NA
44,D5,pyrite,HCO3-,16,-27.72821194471411,-9.779899999999998,6.088131801103952,NA
44,D6,pyrite,HCO3-,16,-28.17587671635617,0.9041999999999999,9.864066346781481,NA
45,D1,pyrite,NO3-,16,146.49149700052197,-24.058,-57.851001227831595,-3.625989120308436
45,D2,pyrite,NO3-,16,145.31153272310203,-27.037,-58.461240598960174,-3.6035319727697925
45,D3,pyrite,NO3-,16,143.21239952178593,-23.226200000000002,-56.45657005522533,-3.6762855103785697
45,D4,pyrite,NO3-,16,139.832120120061,-34.1885,-59.02841864261175,-3.050938851269519
